"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Acrescentar Nova Classificação"
"Delete Rating","Apagar Classificação"
"Rating with the same title","Classificação com o mesmo título"
"Rating isn't Available","Classificação não está Disponível"
"Edit Rating","Editar Classificação"
"Save Rating","Gravar Classificação"
"ID","ID"
"Rating Information","Informações de Classificação"
"Manage Ratings","Gerenciar Avaliações"
"Rating Name","Nome da Classificação"
"New Rating","Nova Classificação"
"Assigned Options","Opções Associadas"
"Rating Options","Opções de Classificação"
"Please select one of each ratings above","Por favor selecione uma das classificações acima"
"Option Label","Rótulo de Opção"
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um título de classificação para uma loja, o valor padrão sera usado."
"Be the first to review this product","Seja o primeiro a rever este produto"
"Rating Title","Título de Classificação"
"Option Title","Título de Opção"
"Option Title:","Título de Opção:"
"Default Value","Valor Padrão"
"Visible In","Visível Em"
"Rating Visibility","Visibilidade de Classificação"
