"Add New Row","Adicionar nova linha"
"An error occurred while saving the file(s).","Um erro ocorreu enquanto o(s) arquivo(s) era(m) salvo(s)."
"Availability: In stock.","Disponível para compra."
"Availability: Out of stock.","Indisponível. Produto comprado com exclusividade."
"Back","Voltar"
"Can\'t connect to remote host, error: %s","Não foi possível estabelecer conexão com o servidor, erro: %s"
"Canceled","Cancelado"
"Date","Data"
"Default Link Title","Título padrão de link"
"Default Maximum Number of Downloads","Número padrão máximo de Downloads"
"Default Sample Title","Título da Amostra Padrão"
"Disable Guest Checkout if cart contains downloadable items","Desabilitar Fechar compra para convidados se o carrinho conter produtos downloadáveis."
"Downloadable Information","Informações de Download"
"Downloadable Product","Produto Downloadável"
"Downloadable Product Options","Opções do produto downloadável"
"Downloadable product Section","Seção do Produto Downloadável"
"Excl. Tax","Excl. Imposto"
"File","Arquivo"
"File does not exists","O arquivo não existe"
"From:","De:"
"Gift Message","Mensagem de presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">Meus Briefings</a>"
"Guest checkout will only work with shareable","Fechar compra como convidado funcionará apenas com produtos compartilháveis"
"Incl. Tax","Incl. Imposto"
"Invalid download URL host","URL de download inválida"
"Invalid download URL scheme","Esquema de URL de download inválida"
"Invalid download link type","Tipo de link de download inválido"
"Invoiced","Faturado"
"Link has expired.","O link expirou."
"Link is not available.","Link indisponível."
"Links can be purchased separately","Links podems ser comprados separadamente"
"Max. Downloads","Max. Downloads"
"Message:","Mensagem:"
"My Downloadable Products","Meus Briefings"
"Open Links in New Window","Abrir links em uma nova janela"
"Order #","Pedido #"
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Ordered","Solicitado"
"Pending","Pendente"
"Please log in to download your product.","Por favor faça seu login para baixar seu briefing."
"Please set resource file and link type","Por favor, confirme o tipo de link"
"Please specify product link(s).","Por favor especifique o link desejado."
"Price","Preço"
"Refunded","Reembolsado"
"Remaining Downloads","Downloads restantes"
"Remove item","Remover item"
"Requested link doesn't exist.","O link requisitado não existe."
"Sample","Exemplo"
"Shareable","Compartilhável"
"Shipped","Entregue"
"Sorry, the was an error getting requested content. Please contact store owner.","Desculpe, ocorreu um erro ao carregar o conteúdo solicitado. Por favor entre em contato com nosso suporte (suporte@mirago.com.br)."
"Sorry, there was an error getting requested content","Desculpe, ocorreu um erro ao carregar o conteúdo solicitado"
"Sorry, there was an error getting requested content. Please contact store owner.","Desculpe, ocorreu um erro ao carregar o conteúdo solicitado. Por favor entre em contato com nosso suporte (suporte@mirago.com.br)."
"Sort Order","Ordenar pedidos"
"Start Download","Iniciar download"
"Status","Status"
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimeitado"
"View Order","Ver pedido"
"You have no Downloadable Products.","Você não tem Briefings."
"attachment","anexo"
"download","download"
"inline","inline"
"sample","exemplo"
