"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."," Por favor insira endereços de email válidos separados por vírgulas. Por exemplo joao@dominio.com.br, jose@dominio.com.br "
"Email Sender"," Remetente de Email "
"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s foi adicionado com sucesso a sua lista de desejo. clique <a href=""%2$s"">aqui</a> para continuar comprando"
"%s's Wishlist","%s's Lista de Desejos"
"* Required Fields","* Campos Obrigatórios"
"Add to Cart","Comprar"
"Added On","Adicionado em"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Add All to Cart","Adicionar Todos ao Carrinho de Compras"
"Are you sure you would like to remove this item from the wishlist?","Você tem certeza que deseja apagar esse item de seu Lista de Desejos?"
"Last Added Items","Últimos itens adicionados"
"Update Wishlist","Atualizar Lista de Desejos"
"Back","Voltar"
"Can't save description %s","Não foi possível salvar descrição %s"
"Comment","Comentário"
"Wishlist Sharing","Compartilhamento da Lista de Desejos "
"Share Wishlist","Compartilhar Lista de Desejos"
"Share Your Wishlist","Compartilhar sua Lista de Desejos"
"Email address can't be empty.","Endereços de email não pode ser vazio."
"Email addresses, separated by commas","Endereços de email separados por vírgulas "
"Enabled","Habilitado"
"Cannot create wishlist","Impossível criar Lista de desejo"
"Cannot specify product","Impossível especificar o produto"
"Sharing Information","Informações de Compartilhamento "
"Go to Wishlist","Ir para Lista de Desejos"
"Wishlist","Lista de Desejos"
"Wishlist is empty now.","Lista de Desejos está vazia agora."
"Message","Mensagem"
"My Wishlist","Minha Lista de Desejos"
"My Wishlist (%d item)","Minha Lista de Desejos (%d item)"
"My Wishlist (%d items)","Minha Lista de Desejos (%d itens)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Minha Lista de Desejos <span class=""count"">- <a href=""%s"">%d Item(s)</a></span>"
"Email Template","Modelo de Email"
"You have no items in your wishlist.","Não há itens na sua Lista de Desejos."
"There was an error while deleting item from wishlist.","Ocorreu erro ao remover item da Lista de Desejos."
"There was an error while deleting item from wishlist: %s","Ocorreu erro ao remover item da Lista de Desejos: %s"
"There was an error while adding item to wishlist: %s","Ocorreu um erro ao adicionar item à Lista de Desejos: %s"
"There was an error while adding item to wishlist.","Ocorreu um erro ao adicionar um item à Lista de Desejos."
"Share options","Opções de Compartilhamento "
"General Options","Opções Gerais"
"Please, enter your comments...","Por favor, insira os seus comentários..."
"Product","Produto"
"Remove Item","Remover item"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link para Lista de Desejos de %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Selecione esta opção se você deseja adicionar um link para um RSS feed da sua Lista de Desejos."
"Your Wishlist was successfully shared","Sua Lista de Desejos foi compartilhada com sucesso"
"This product(s) is currently out of stock:","Esse(s) produto(s) está(ão) esgotado(s):"
"View Product","Ver produto"
"You input not valid email address.","Você digitou um endereço de email que não é válido."
"Are you sure you want to remove this product from your wishlist?","Você tem certeza que deseja remover este produto da sua Lista de Desejos?"
