"-- Please select --","-- Por favor selecione --"
"WARNING:","ALERTA:"
"Currency Update Warnings","Alertas de Atualização de Moeda="
"Invalid country code: %s","Código de país inválido: %s"
"Country and Format Type combination should be unique","Combinação de País e Tipo de Formato deve ser única"
"Currency Setup","Configuração de Moeda"
"Scheduled Import Settings","Configurações de Importação Programadas"
"Continue &raquo;","Continuar &raquo;"
"Error Email Recipient","Destinatário de Email de Erro"
"FATAL ERROR:","ERRO FATAL:"
"Invalid Import Service Specified","Especificado Serviço Inválido de Importação"
"State/Province","Estado"
"Frequency","Freqüência"
"Enabled","Habilitado"
"Start Time","Horário de Início"
"Unable to initialize import model","Impossível inicializar modelo de importação"
"Error Email Template","Modelo de Email de Erro"
"Currency","Moeda"
"Base currency (Currency will be used for all online payment transactions)","Moeda Base (será usada para todas as transações de pagamento online)"
"Invalid target currency","Moeda de Destino Inválida"
"Default display currency","Moeda de visualização Padrão"
"Installed Currencies","Moedas Instaladas "
"Allowed currencies","Moedas permitidas"
"Cannot retrieve rate from %s","Não pode recuperar taxa de %s"
"Currency Options","Opções de Moeda"
"Error Email Sender","Remetente de Email de Erro"
"Select Your Currency","Selecione Sua Moeda"
"Service","Serviço"
"Your current currency is: %s","Sua Moeda Atual é: %s"
"Undefined rate from ""%s-%s""","Taxa indefinida de ""%s-%s"""
"Invalid rates received","Taxas Inválidas recebidas"
