"* Required Fields","* Campos Obrigatórios"
"Add","Adicionar"
"Add Gift Message","Adicionar Mensagem de Presente"
"Remove","Apagar"
"Check this checkbox if you want to add gift messages.","Selecione esta caixa de seleção se você deseja adicionar mensagem ao presente."
"Check this checkbox if you want to add gift messages to your items.","Selecione esta caixa de seleção se deseja adicionar mensagens de presente aos seus itens."
"Cancel","Cancelar"
"From","De"
"Enter a gift message for each item in your order.","Digite uma Mensagem de Presente Para Cada Item do seu Pedido"
"Enter a gift message for this address.","Digite uma Mensagem de Presente Para Este Endereço"
"Enter a gift message for entire order.","Digite uma Mensagem de Presente Para Este Pedido Inteiro"
"Edit","Editar"
"Edit Gift Message","Editar Mensagem de Presente"
"Error while saving gift message","Erro ao Gravar Mensagem de Presente"
"Close","Fechar"
"Save","Gravar"
"Save Gift Message","Gravar Mensagem de Presente"
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"Gift Message","Mensagem de Presente"
"Gift message has been successfully saved","Mensagem de presente foi gravada com sucesso"
"Gift Messages","Mensagens de Presente"
"No","Não"
"To","Para"
"Allow Gift Messages on Order Level","Permitir Mensagens de Presentes no Nível de Pedido"
"Allow Gift Messages for Order Items","Permitir Mensagens de Presentes para Itens de Pedidos"
"Yes","Sim"
"Your gift message successfully saved","Sua Mensagem de Presente foi Gravada com sucesso"
"Your gift message successfully removed","Sua Mensagem de Presente foi Removida com sucesso"
"Your gift message has been successfully removed","Sua Mensagem de Presente foi Removida com sucesso"
"Your gift message has been successfully saved","Sua Mensagem de Presente foi Salva com sucesso"
"Unknown entity type","Tipo de Entidade Desconhecido"
"Use config","Utilizar Config"
"Do you have any gift items in your order?","Você tem algum item de presente no seu pedido?"
"Are you sure?","Você tem certeza?"
"You can leave a box blank if you don't wish to add a gift message for the item.","Você pode deixar uma caixa em branco se você não deseja adicionar uma mensagem de presente para o tem."
"You can leave a box blank if you don't wish to add a gift message for this address.","Você pode deixar uma caixa em branco se você não deseja adicionar uma mensagem de presente para esse endereço."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Você pode deixar uma caixa em branco se você não deseja adicionar uma mensagem de presente para toda a compra."
