"Payment Action","Ação de Pagamento"
"Change Shipping Address","Alterar Endereço de Envio"
"Change Payment Method","Alterar Método de Pagamento"
"API Password","API Password"
"API Signature","API Signature"
"API User Name","API User Name"
"Update Shipping Method","Atualizar Método de Envio"
"Business Account","Business Account"
"Business Name","Business Name"
"PayPal Account","Conta de PayPal"
"Debug Flag","Debug Flag"
"Edit Shopping Cart","Editar Carrinho de Compras"
"Shipping Address","Endereço de Envio"
"Submitting order information...","Enviando informações de Pedido..."
"Place an Order","Finalizar Pedido"
"Enabled","Habilitado"
"Billing Information","Informações de Cobrança"
"Shipping Information","Informações de Envio"
"Items in Your Shopping Cart","Itens no seu Carrinho de Compras"
"Shipping Method","Método de Envio"
"Payment Method","Método de Pagamento"
"Sort order","Ordenar pedido"
"Website Payments Standard","Padrão de Pagamentos do Website"
"Payment from Specific countries","Pagamento de Países Específicos"
"Payment from applicable countries","Pagamento de Países permitidos"
"PayPal Email","PayPal Email"
"Paypal Logo Image URL(150x150)","Paypal Logo Image URL(150x150)"
"Please select a shipping method...","Por favor selecione Método de Pagamento..."
"Price","Preço"
"Product Name","Produto"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Qty","Qtd"
"Review Order","Rever Pedido"
"Sandbox Flag","Sandbox Flag"
"Your billing address will be ignored and you will be redirected to PayPal website","Seu endereço de Cobrança será ignorado e você será redirecionado para o website do PayPal"
"Sorry, no quotes are available for this order at this time.","Sinto muito, não há cotações disponíveis para este pedido no momento."
"New order status","Status de Novo Pedido"
"Subtotal","Subtotal"
"Title","Título"
"Type","Tipo"
"Transaction Type","Tipo de Transação"
"Credit Card Types","Tipos de Cartão de Crédito"
"Use Proxy","Usar Proxy"
"You will be redirected to paypal in a few seconds.","Você sera redirecionado para o PayPal em alguns segundos."
"You will be redirected to PayPal website when you place an order.","Você sera redirecionado para o website do PayPal quando realizar um pedido."
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
