"Payment Action","Ação de Pagamento"
"API Login ID","API Login ID"
"Authorize.net","Authorize.net"
"Authorize Only","Autorizar Apenas"
"Authorize and Capture","Autorizar e Capturar"
"Transaction key","Chave de Transação"
"Debug","Debug"
"Email customer","Email do cliente"
"Error in authorizing the payment","Erro ao autorizar o pagamento"
"Error in capturing the payment","Erro ao capturar o pagamento"
"Error in refunding the payment","Erro ao restituir pagamento"
"Error in refunding the payment.","Erro ao restituir pagamento."
"Payment authorization error.","Erro de Autorização de Pagamento."
"Gateway request error: %s","Erro de solicitação de Gateway: %s"
"Error in payment gateway","Erro no gateway de pagamento"
"Error in retrieving the transaction","Erro recuperando a transação"
"Enabled","Habilitado"
"Invalid transaction id","Id de Transação Inválido"
"Merchant Login","Logim do Comerciante"
"Merchant's email","Email do Comerciante"
"Test mode","Modo de Teste"
"Sort order","Ordenar Pedidos"
"Payment from Specific countries","Pagamento de Países específicos"
"Payment from applicable countries","Pagamento de países permitidos"
"Partner","Parceiro"
"PayflowPro","PayflowPro"
"Invalid amount for authorization","Quantia Inválida para autorização"
"Invalid amount for authorization.","Quantia Inválida para autorização."
"Password","Senha"
"New order status","Status de Novo Pedido"
"Fraud order status","Status de Pedido com Fraude"
"Title","Título"
"TENDER","TENDER"
"Credit Card Types","Tipos de Cartão de Crédito"
"Voided transaction","Transação Cancelada"
"Payment authorization transaction has been declined.","Transação de Autorização de Pagamento foi recusada."
"URL","URL"
"User","Usuário"
"VERBOSITY","VERBOSITY"
"Credit Card Verification","Verificação de Cartão de Crédito"
